"","FirstName","LastName","Team","GP","GS","AVG","OPS","AB","R","H","X2B","X3B","HR","RBI","TB","SLG","BB","HBP","SO","GDP","OBP","SF","SH","SB","SB_ATT"
"29","JACKSON","FINLEY","Georgia Tech","54","53",0.328,1.069,198,47,65,17,0,17,61,133,0.672,20,4,79,1,0.397,2,0,"1","2"
"30","COOPER","INGLE","Clemson","62","62",0.328,0.878,256,60,84,16,0,6,34,118,0.461,39,3,29,4,0.417,4,0,"1","3"
"31","JAKE","GELOF","Virginia","65","65",0.328,1.155,253,72,83,23,4,23,90,183,0.723,48,2,50,3,0.432,5,0,"3","5"
"32","KYLE","HESS","Pitt","45","43",0.327,1.041,171,29,56,9,6,10,42,107,0.626,24,3,34,3,0.415,2,0,"9","11"
"33","JUSTIN","JOHNSON","Wake Forest","65","63",0.324,1.042,238,60,77,16,3,16,76,147,0.618,33,13,48,2,0.424,6,3,"7","7"
"34","JAIME","FERRER","Florida State","54","54",0.324,0.902,225,39,73,22,2,7,42,120,0.533,10,6,40,3,0.369,0,1,"4","5"
"35","CARSON","DEMARTINI","Virginia Tech","52","52",0.323,1.048,189,58,61,13,4,10,57,112,0.593,46,4,42,4,0.455,5,2,"9","13"
"36","TOMAS","FRICK","North Carolina","59","59",0.322,0.979,233,47,75,22,0,12,60,133,0.571,25,11,36,7,0.408,3,0,"0","0"
"37","JACK","HURLEY","Virginia Tech","45","44",0.32,1.127,178,46,57,15,2,17,49,127,0.713,20,10,40,2,0.414,2,0,"4","6"
"38","HUNTER","STOKELY","North Carolina","56","51",0.317,0.898,199,37,63,15,1,6,36,98,0.492,23,7,53,4,0.406,0,1,"0","0"
"39","CASEY","COOK","North Carolina","60","58",0.317,0.843,224,45,71,11,1,3,23,93,0.415,34,11,43,2,0.428,2,1,"2","2"
"40","ALEX","MOONEY","Duke","63","63",0.315,0.938,254,68,80,20,2,8,38,128,0.504,36,19,43,2,0.434,2,0,"21","26"
"41","ALEX","STONE","Duke","62","61",0.315,0.958,254,53,80,16,0,17,62,147,0.579,17,10,43,7,0.379,1,0,"0","0"
"42","JOE","VETRANO","Boston College","56","56",0.315,1.078,219,53,69,12,0,22,64,147,0.671,34,4,58,2,0.407,6,0,"3","4"
"43","BARRY","WALSH","Boston College","53","51",0.314,0.906,194,40,61,10,0,8,35,95,0.49,24,12,55,3,0.416,3,4,"14","16"
"44","JACOBY","LONG","Miami","51","13",0.313,0.913,64,23,20,3,0,3,9,32,0.5,9,2,20,0,0.413,0,0,"4","4"
"45","KALAE","HARRISON","NC State","57","57",0.313,0.862,195,42,61,10,3,2,31,83,0.426,37,7,28,4,0.436,2,5,"4","5"
"46","TYLER","ALBRIGHT","Duke","51","45",0.312,0.824,154,23,48,7,0,3,34,64,0.416,18,9,49,0,0.408,3,3,"4","5"
"47","CLAY","GRADY","Virginia Tech","48","37",0.307,0.819,150,33,46,5,1,4,34,65,0.433,15,5,23,5,0.386,1,1,"4","5"
"48","CADEN","GRICE","Clemson","60","59",0.307,1.029,228,60,70,15,1,18,68,141,0.618,30,13,74,1,0.411,4,0,"4","5"
"49","JACKSON","VAN DE BRAKE","North Carolina","58","57",0.307,0.925,218,48,67,15,0,8,48,106,0.486,41,11,38,6,0.439,1,0,"1","3"
"50","NOAH","MARTINEZ","Pitt","55","55",0.306,1,206,52,63,13,0,13,53,115,0.558,50,2,41,4,0.442,2,0,"2","2"
"51","ZACK","PRAJZNER","Notre Dame","54","54",0.306,0.896,209,43,64,16,1,7,32,103,0.493,27,9,37,2,0.403,3,1,"4","5"
"52","MAC","HORVATH","North Carolina","60","60",0.305,1.129,239,73,73,21,2,24,66,170,0.711,43,6,61,2,0.418,4,0,"25","29"
"53","BLAKE","CYR","Miami","60","59",0.305,1.047,200,50,61,12,0,17,63,124,0.62,37,8,70,2,0.427,3,0,"0","2"
"54","TRAVIS","HONEYMAN","Boston College","39","39",0.304,0.917,161,33,49,15,2,6,30,86,0.534,13,8,21,3,0.383,1,0,"10","11"
"55","BENNETT","LEE","Wake Forest","46","43",0.303,0.907,142,30,43,3,0,7,34,67,0.472,32,5,32,4,0.435,5,2,"5","5"
"56","VINNY","MARTINEZ","Notre Dame","42","42",0.301,0.986,143,25,43,9,1,10,38,84,0.587,19,5,43,2,0.399,1,1,"1","1"
"57","BENJAMIN","BLACKWELL","Clemson","63","63",0.301,0.77,236,36,71,10,2,2,31,91,0.386,27,6,56,5,0.384,2,4,"27","33"
"58","WILL","MARCY","NC State","45","33",0.301,0.899,136,35,41,12,0,5,21,68,0.5,20,2,26,4,0.399,0,1,"2","3"
"59","JACOB","COZART","NC State","52","48",0.301,0.938,196,39,59,14,2,10,42,107,0.546,24,6,38,6,0.392,1,1,"0","1"
"60","CARSON","JONES","Virginia Tech","53","49",0.299,1.044,187,58,56,13,2,14,47,115,0.615,33,10,59,1,0.429,1,1,"12","13"
"61","JADYN","JACKSON","Georgia Tech","46","45",0.296,0.704,159,22,47,9,0,0,19,56,0.352,15,0,33,6,0.352,2,1,"1","2"
"62","BRANDON","ANDERSON","Louisville","42","37",0.295,0.751,139,27,41,8,0,1,25,52,0.374,11,8,27,2,0.377,1,3,"3","3"
"63","JACK","ANDERSON","Pitt","55","55",0.295,0.901,193,44,57,10,0,6,35,85,0.44,55,5,62,5,0.461,1,0,"1","1"
"64","HENRY","GODBOUT","Virginia","56","51",0.295,0.804,190,38,56,14,1,3,39,81,0.426,13,13,30,5,0.378,1,4,"8","8"
"65","TREVOR","CANDELARIA","NC State","51","51",0.295,0.919,200,42,59,17,1,10,38,108,0.54,21,6,37,0,0.379,0,0,"4","7"
"66","MJ","METZ","Duke","58","52",0.294,1.004,197,48,58,8,0,17,48,117,0.594,37,3,72,4,0.41,2,0,"2","3"
"67","PATRICK","ROCHE","Boston College","56","56",0.294,0.801,201,39,59,12,0,3,38,80,0.398,27,12,34,8,0.403,3,1,"5","6"
"68","DOMINIC","PITELLI","Miami","63","63",0.294,0.905,238,45,70,14,1,13,54,125,0.525,26,8,61,4,0.38,2,0,"10","14"
"69","CASEY","SAUCKE","Virginia","65","65",0.294,0.8,252,48,74,16,1,4,47,104,0.413,29,10,50,8,0.387,1,0,"9","11"
